comsol_index,frequency_real_Hz,frequency_imag_Hz,Q,Eoz1,Eoz0,Eoz_1,Eof1,Eof0,Eof_1,Forward,Backward
16,1668.82841165628,0.304283140046213,2742.22950933598,1.65307517485066e-08,1.12739536127719e-08,1.7656813599312e-08,1.93102543624193e-08,1.03011002471539e-08,1.82900673658461e-08,0.363620752813752,0.403124866988884
17,1668.89927281397,0.707542050417104,1179.36401930467,1.08534811196036e-08,9.30601297313456e-12,1.27916780476382e-08,1.40783193174642e-08,1.11604235919278e-11,1.19818765650654e-08,0.458834348479866,0.539991826745072
18,1668.90270021127,0.639926085914018,1303.98083227655,4.99153306008487e-10,8.61190513293298e-10,2.43235316701402e-09,2.73740947767317e-09,7.84389199748466e-10,5.86293843249926e-10,0.131609065477535,0.666345624860873
19,1668.90474515994,0.574902314891043,1451.46810330398,5.7808664127688e-09,1.78084788420971e-11,7.42940698219953e-09,8.05055937322006e-09,1.23753973791379e-11,6.29765526687622e-09,0.437014713691335,0.560600877276721
20,1670.87460416957,3.38506414493191,246.801025420919,2.85433562289929e-08,1.92048687445422e-08,2.90597742185041e-08,3.26488508388039e-08,1.74588889673192e-08,3.28407926828394e-08,0.371619577768552,0.393603718584754
21,1671.60381834227,5.75916009117136,145.125659981635,3.086846464355e-09,2.37399674610859e-09,3.83430904545077e-09,4.5903572005916e-09,2.19122667040419e-09,3.79283002886575e-09,0.332092081911933,0.434100390249687
22,1671.86242971785,6.02140032532576,138.826713006115,1.64970861714819e-08,1.80535832231655e-13,1.68107100352523e-08,1.9782385578888e-08,9.01043431062324e-13,1.92028071425419e-08,0.495289350625708,0.507421587251152
23,1671.98267662231,4.97592214381436,168.007318874631,1.95646368800836e-08,1.8699351623746e-13,1.98738374752385e-08,2.27400537243933e-08,3.74925378024843e-13,2.23712946716357e-08,0.496077610419703,0.504083019892134
24,1675.23810675505,10.9691892954476,76.3610719823346,3.13430381826835e-08,2.17687820933645e-08,3.1680139451237e-08,3.82156875816696e-08,1.93659972579503e-08,3.94442280549248e-08,0.36964634717126,0.39387094067546
25,1677.03261536071,16.0114300750923,52.3698572674511,4.81583086415948e-09,3.67557085305777e-09,5.23818980923506e-09,7.12052976427151e-09,3.40479631869265e-09,6.56322808907151e-09,0.350762865368645,0.416684155522286
26,1677.36598726932,16.0542652453041,52.2405093487526,4.66562469115687e-09,1.16446192119357e-12,4.62533844594053e-09,6.31707919181989e-09,1.76224236741915e-14,6.18221558739657e-09,0.502105103641672,0.505394135999911
