comsol_index,frequency_real_Hz,frequency_imag_Hz,Q,Eoz1,Eoz0,Eoz_1,Eof1,Eof0,Eof_1,Forward,Backward,pml_fraction
79,1695.10520172058,-15.4371670876655,54.9033767690122,4.96034039580125e-08,3.01337104647229e-08,4.98422348368029e-08,5.23396301470119e-08,2.44501903713402e-08,5.2781674174328e-08,0.382803311187035,0.403944017711241,NaN
80,1704.80727651104,-9.47214013493888,89.9906067807581,3.29441030160986e-10,6.77275853379516e-13,3.57487625591726e-10,4.69588514537579e-10,2.10901042413701e-13,3.66510506651607e-10,0.479113130091078,0.56150058973895,NaN
81,1705.0991406578,-8.94084044558825,95.3545223759785,1.15588014888385e-08,7.27347176006401e-09,1.18829273660319e-08,1.32477401545556e-08,5.88916921151077e-09,1.29611250712391e-08,0.376321862056091,0.412727457827094,NaN
82,1706.15231917289,151.591709925627,5.62745917969376,1.61732192185162e-11,1.27134820884777e-11,1.5568041354113e-11,2.54345239419149e-12,2.18509301742498e-12,6.92306001772587e-12,0.363813133321004,0.218292012170811,NaN
83,1706.15567623444,151.593128468616,5.62741759296713,2.63129990550174e-11,3.43840927635027e-11,3.38063852973571e-11,9.26398035044245e-12,1.09783387417849e-11,1.71673737494618e-11,0.278434189492872,0.24763583036209,NaN
84,1706.16768078923,151.589980230692,5.62757405929059,1.17003798369213e-11,1.36011059211178e-11,1.64548410544654e-11,3.71875260155807e-12,3.48290866682426e-12,1.04553836664298e-11,0.280206156290008,0.210610134101561,NaN
85,1706.1723206885,151.589034843938,5.62762445992553,1.83538836151326e-11,3.61672523317879e-11,4.83797834377665e-11,1.6374672280377e-11,1.05959001583261e-11,6.53294441332724e-12,0.178364622249079,0.488744878715164,NaN
86,1718.84904532473,210.274396906574,4.08715723504946,1.33843153547052e-13,1.4595207083004e-13,4.10932614696513e-14,7.1953866889421e-13,1.47517829561676e-12,1.5802977535836e-11,0.417101764165435,0.0399794911998499,NaN
87,1718.85037512925,210.272871299969,4.08719005096284,7.90101391018876e-12,3.95066300134163e-12,2.98373567220971e-12,3.3186796395944e-13,2.68703891014283e-13,1.98833604683207e-13,0.532577969476118,0.41514347938262,NaN
88,1718.86187668343,210.270091387115,4.08727143585756,1.4709546842838e-14,4.93963267178065e-14,1.30513765100758e-13,1.39333695209294e-11,2.93575151223792e-12,3.29525538580488e-11,0.0755809996566152,0.279664815591856,NaN
89,1718.86485940008,210.266604881042,4.08734630107459,9.57811494098675e-12,1.22881394972549e-12,3.15360856688258e-13,9.25802079877996e-13,6.13633253214218e-13,3.9020224119513e-13,0.861163947219173,0.479780292534941,NaN
90,1723.41253282192,282.425262736439,3.05109485625268,2.62908244533366e-12,1.14488857512261e-12,2.5134010395074e-13,3.0773121893567e-15,1.32430314512175e-14,1.00741830415776e-14,0.653137698945188,0.116589027203038,NaN
91,1723.41375160181,282.426236806521,3.05108649091701,1.02174784868952e-15,9.11462838544696e-16,2.8664490036186e-16,4.68522854457636e-13,6.66492022843771e-13,7.90284116692276e-12,0.460276719980686,0.0518400439401838,NaN
92,1723.42458384022,282.422477396318,3.05114628220927,1.86165272599574e-15,1.20831860200581e-15,2.06771770050092e-15,1.24030731394507e-11,3.46076411561527e-12,1.87316672212354e-11,0.362352161773086,0.358516903488055,NaN
93,1723.42483518308,282.42053278765,3.05116773587938,6.42942032799715e-12,9.60377292912707e-13,2.65022378397416e-12,1.08249226657533e-14,5.51842387449703e-15,9.16508134641554e-15,0.640379145493607,0.42436651579817,NaN
94,1726.90057735221,95.4289433297552,9.04809650561099,3.63392293423356e-05,6.01144844775265e-13,3.57509067229145e-05,3.55271875731839e-05,3.91297954710569e-12,3.61220240780041e-05,0.504080461249496,0.495848939774735,NaN
95,1728.05232260429,95.613890086366,9.03661759313094,3.61302131608496e-05,3.0430847678022e-08,3.55608986145487e-05,3.29823040426675e-05,1.26728359118893e-08,3.34948796814371e-05,0.503756777105695,0.496050160867715,NaN
96,1728.55918037752,1.16385704986762,742.599437179218,2.4755900944162e-09,5.72842812364772e-13,2.38359327327062e-09,2.68688629675626e-09,2.74457355444809e-13,2.44560182431977e-09,0.509406230927356,0.52347761185115,NaN
97,1730.95909298907,2.56298677437297,337.683969011613,4.53594845696348e-08,2.69057145212192e-08,4.49261395413071e-08,4.59501703533871e-08,1.76488433204849e-08,4.61128318126186e-08,0.387054923162954,0.418825972251512,NaN
98,1740.47706313194,435.353440081092,1.99892421064566,5.79013740361513e-20,2.39772408612544e-19,1.29158467374475e-20,3.44747017297386e-13,9.10848330088335e-14,1.849409189191e-12,0.186424041751133,0.150858054506685,NaN
99,1740.47732357678,435.352563634386,1.99892853397603,2.77788149250136e-13,3.41120630496526e-13,2.31121726597078e-14,1.45995889098117e-19,1.84249741223345e-18,1.48104292656897e-19,0.432677700328865,0.0683310182080572,NaN
100,1740.48936022457,435.349829395373,1.99895491246868,1.55690456655642e-19,1.18562114118418e-19,1.14632896384447e-19,4.4751688025721e-12,1.66443529804524e-12,3.63515648957699e-12,0.400350411120361,0.457828993485674,NaN
101,1740.48984629986,435.349675400043,1.9989561778133,8.39563901843298e-13,3.07660584695732e-13,1.35849917124093e-12,2.31599581937165e-20,7.30868393180911e-19,5.04313107272842e-19,0.335058456760209,0.0184051459439396,NaN
102,1744.88900992416,-67.8489172995856,12.8586356228769,3.37042849627707e-08,8.84016360617869e-14,3.37983497863102e-08,2.24085222359817e-08,6.65916049049828e-14,2.25129818915115e-08,0.499302596837721,0.498836569542633,NaN
103,1763.11161708102,17.1223764017673,51.4855991864261,2.26341007425587e-09,6.76960481090547e-13,2.18720476395125e-09,2.13984426280532e-09,6.9949426549649e-13,2.37372235095912e-09,0.508483868643007,0.474018192901607,NaN
104,1763.95641127636,18.2985645137761,48.1993112068533,3.68384777962107e-08,1.59069643364119e-08,3.65002108737563e-08,3.07312418458187e-08,1.17103918481914e-08,3.00087060212954e-08,0.41277615833656,0.424169741185169,NaN
105,1806.68770050819,33.3154081069757,27.114896727468,2.37322426421234e-09,3.93288480036946e-14,2.26619445043658e-09,1.73341995014576e-09,1.51038667739616e-12,1.85549602810295e-09,0.511530493855605,0.482789444473522,NaN
106,1807.46032218943,33.3241309758358,27.1193917029684,3.26508216719011e-08,1.00023725236339e-08,3.19776657630199e-08,2.196190704902e-08,8.83908763026293e-09,2.06284360209364e-08,0.437497594025222,0.427029946666829,NaN
107,1809.43196210535,95.888909250118,9.43504299014187,7.53444746651528e-08,7.66509672770936e-05,7.35794749089537e-08,4.67038759194485e-08,7.76349206070933e-05,4.81941060025463e-08,0.000981049236681606,0.000600848899009893,NaN
108,1837.94089227482,89.8839038657359,10.2239712185857,3.63105803085226e-05,2.09310551185374e-12,3.59017902899755e-05,3.61596045297836e-05,5.6092358825506e-12,3.66030625961429e-05,0.502830456265351,0.496952670518239,NaN
109,1839.48830354556,88.7877166700229,10.3589120913086,3.26627627643397e-05,1.10111969401209e-08,3.22800648044709e-05,3.42333935362125e-05,8.34719034379888e-08,3.45980805568226e-05,0.502861160864326,0.496748463504049,NaN
110,1858.50470178508,51.196820597813,18.1505870880629,2.29975924533408e-09,5.28843049327424e-13,2.17776880387295e-09,5.75342707050682e-09,3.87566104459856e-13,6.63796806398436e-09,0.513561864144896,0.464293734769112,NaN
111,1859.7080421366,51.5697641196422,18.0309923254843,2.93528054066968e-08,3.96097733325781e-09,2.85295842992279e-08,8.24609913978983e-08,2.03949020019415e-08,8.52181414861462e-08,0.474631424710422,0.438449632071156,NaN
112,1910.61111660137,67.3473635842886,14.1847506340033,1.01052025111346e-10,3.24601741999622e-11,1.36742408141594e-10,8.3102085199911e-10,2.42676587829858e-11,8.05862876471985e-10,0.373914162144142,0.500267981820011,NaN
113,1910.70971384188,67.2709961593795,14.2015862922187,2.58810636181221e-09,2.35022632154822e-09,2.67743413658434e-09,5.32568529218735e-09,2.77883112294327e-09,4.51308703491439e-09,0.339835294724921,0.422083743023986,NaN
114,1947.6320155494,89.6929253546521,10.8572220598689,5.89567838616045e-07,5.76620248665216e-05,5.92366808565549e-07,6.84819517910748e-07,5.75084880127525e-05,6.8420544161688e-07,0.0100191734799687,0.011631257560644,NaN
115,1953.38402399383,85.2681657409441,11.4543570101442,3.45017140651469e-05,3.4424104932613e-11,3.35621716901847e-05,3.33522639425538e-05,3.42726297059667e-11,3.42861601512241e-05,0.506901659119696,0.493096157837892,NaN
116,1954.6960213732,84.9397614203506,11.50636632766,3.10748946997367e-05,4.58897646841009e-07,3.02284951823571e-05,2.9361719187164e-05,4.84639687590915e-07,3.01762519304885e-05,0.503137042733052,0.489177641446397,NaN
117,1966.92373361678,77.5873985833853,12.6755360376136,1.48932512375432e-08,1.88842493179155e-11,1.91629618634474e-08,1.12653769364996e-08,3.22089245674956e-11,8.88053866567781e-09,0.437071421526206,0.558296531551682,NaN
118,1967.77043813056,76.9630390530554,12.7838665308815,1.90202149023495e-07,5.21137388265531e-08,1.90476937647716e-07,1.1087137313941e-07,4.37187421429642e-08,1.09333582145134e-07,0.4394762062073,0.420088738601669,NaN
119,2027.67627119124,79.9547283848965,12.6801523321432,1.44561156748583e-10,3.67840514911282e-12,1.43766231241639e-10,5.92074805608564e-11,1.00356019549902e-11,2.602564947516e-11,0.495062632814287,0.621478624974725,NaN
120,2027.95931992192,80.0447037278652,12.6676671002278,5.57101833669492e-10,8.22960471855941e-11,6.53987724161104e-10,2.46400046498528e-09,1.24183466495723e-09,2.87244627476835e-09,0.430731431917026,0.374565986675601,NaN
