comsol_index,frequency_real_Hz,frequency_imag_Hz,Q,Eoz1,Eoz0,Eoz_1,Eof1,Eof0,Eof_1,Eoz1_fraction,Eoz0_fraction,Eoz_1_fraction,Eof1_fraction,Eof0_fraction,Eof_1_fraction,po9_real,po9_imag,po10_real,po10_imag,po11_real,po11_imag,po12_real,po12_imag,po13_real,po13_imag,po14_real,po14_imag,po15_real,po15_imag,po16_real,po16_imag
31,1684.95264395127,33.8578670597659,24.8827346533228,1.9274802051827e-13,2.21495275534588e-07,3.70278403353962e-13,8.54206819825644e-14,2.22140716284184e-07,6.63191087421114e-14,8.70210572670315e-07,0.999997458072226,1.6717172013684e-06,3.8453384441329e-07,0.999999316920871,2.98545284944838e-07,-1.77981803300764,0.345147886131887,1.93234908004938,-0.358861334678204,-1.78020770916013,0.345315286689266,1.9325234204985,-0.358851117021378,-0.999564702551879,0.210764935842371,1.15217874776218,-0.223794054315338,-0.999371521758913,0.210630116600885,1.15214451712766,-0.223788637689756
32,1685.0395971757,34.1910416743284,24.6415364180155,1.36267531693608e-13,7.46826056151742e-08,2.49161500129112e-13,2.64939963210498e-15,7.46652373817852e-08,1.29473773791271e-14,1.82461267001143e-06,0.999994839132359,3.33625497111691e-06,3.54837026115169e-08,0.999999791110639,1.73405658758627e-07,1.34109600420263,-1.10655294386632,-1.28428040003267,1.17495003639466,1.34130376906799,-1.10683687515301,-1.28440493386707,1.17501871345482,-0.828485299726698,0.64736159564137,0.772010942574353,-0.715962399548549,-0.828500366197577,0.647317262238262,0.772064041798306,-0.71593384310423
33,1685.29740685347,32.1072319117138,26.2448256437611,4.98553780158305e-14,1.16104449261279e-08,3.44485402761801e-15,2.37987792902994e-14,1.30885571619371e-08,4.24487299591187e-14,4.29399126926709e-06,0.999995409307077,2.96701654008007e-07,1.81827977976075e-06,0.999994938542643,3.24317757729072e-06,0.263893355804616,1.67591526980975,-0.23635318987368,-1.65439164102255,0.263979190279229,1.67594167661415,-0.236333513120131,-1.65428458795474,-0.353722109861889,-2.2594514077837,0.317067718172313,2.26604450010796,-0.353611522466082,-2.25934497707576,0.317070727827064,2.26607889854101
34,1686.4792544583,28.880735164896,29.1973047920917,5.24066740678278e-14,8.63198051382295e-08,1.88573186888012e-14,4.19258769400121e-15,9.77837912931115e-08,6.03501633203114e-14,6.07121745907395e-07,0.999999174419662,2.18458592328519e-07,4.28760725189522e-08,0.999999339944713,6.1717921434407e-07,1.07250141526912,1.31699294620182,-1.09531048356384,-1.22420512717751,1.07257529941086,1.31696547574462,-1.09517155523221,-1.22417199760472,1.3975407959291,1.66239978853467,-1.37571822759958,-1.56304633752833,1.3974069714227,1.66240883860733,-1.37572308934719,-1.56312436116151
35,1695.52952330473,55.4622803876531,15.2854292273401,2.14152732510541e-13,3.11290412977038e-07,5.71534175230197e-13,1.71704433158261e-13,3.12161932021207e-07,6.19404778625549e-14,6.87949847055359e-07,0.999997476038799,1.83601135426639e-06,5.50048827319811e-07,0.999999251527133,1.98424039410353e-07,-1.72809376921721,0.54530863542598,1.90159172166548,-0.49177728483142,-1.72856634924649,0.545368159846193,1.90182260767636,-0.491665513918247,-0.944612561035173,0.365549548300749,1.11793394018626,-0.311197708789373,-0.944333765821466,0.36551595704822,1.11787195528591,-0.311263570493612
36,1695.81530588029,55.8700757023366,15.1764185439377,1.19318367423e-13,6.73511156193425e-08,3.37613028899915e-13,1.23072772213501e-15,6.79471631052386e-08,8.51540559751973e-15,1.77157507841576e-06,0.999993215727873,5.01269704795055e-06,1.81130085401362e-08,0.999999856563078,1.25323913272247e-07,0.941603196298447,-1.45165902355485,-0.905970176075494,1.52829691954804,0.941806947878131,-1.45196279768497,-0.906148868659979,1.52836380030115,-0.598707045355598,0.861690164014273,0.563572655031349,-0.938846110137103,-0.598728414384893,0.861653821658427,0.563614885384598,-0.938837777772881
37,1696.12174008008,52.8142788433386,16.0574164527668,6.96701072488673e-14,1.0469325854884e-08,9.88655838706188e-15,1.97408663705929e-14,1.34775028771542e-08,7.58722077197725e-14,6.65463839732566e-06,0.999992401033057,9.44328545741025e-07,1.46471690671789e-06,0.999992905778121,5.6295049726242e-06,0.920564967351976,1.47440443601264,-0.90070609827355,-1.44782925396713,0.92069988763162,1.47444803307663,-0.900675082429716,-1.44773672207124,-1.2669681116538,-1.97950735087088,1.22926665382115,1.98275203617202,-1.26679213592278,-1.97947277405121,1.22926223776101,1.98281056391662
38,1699.69740668137,47.7943517545619,17.781362695427,6.29783164229777e-14,7.08065996927482e-08,2.95917253146124e-14,1.44578123526155e-14,1.06515641236024e-07,1.24225213074319e-13,8.89440170277151e-07,0.999998692637111,4.17922718445688e-07,1.35733995128264e-07,0.999998698004882,1.16626112270622e-06,1.78111000118292,0.0597074220301517,-1.76777867810148,0.0258580138282888,1.78116599540698,0.0596347063249141,-1.76763575512833,0.0257832997993264,2.279547566523,0.0365375226768019,-2.22449503162571,0.0542531577787193,2.2794189689896,0.0366751072670262,-2.22452909963476,0.0541308603168675
39,1707.66761270323,86.6986560640645,9.84829344667912,9.36070088133212e-13,3.31450051697151e-07,1.47142208986326e-12,1.06401127538735e-12,3.32221601350621e-07,4.01669686090242e-13,2.82414585314185e-06,0.999992736538495,4.43931565166868e-06,3.20270138041379e-06,0.999995588262505,1.2090361144371e-06,-1.61064482471231,-0.620975780272376,1.69772962305691,0.78703409307792,-1.61081217694868,-0.621702723089533,1.6977266465295,0.787615252980931,-0.917395994707363,-0.27136399955982,1.00396749615112,0.437611755839715,-0.917321990555228,-0.270730943455211,1.00412229754368,0.437273830097724
40,1707.89981054491,86.90044002729,9.82676157916212,2.21243384109685e-13,3.88757857692223e-08,4.64680727623613e-13,2.87111747978773e-14,4.0414050992979e-08,2.40454580447886e-14,5.69093270230129e-06,0.999982356317797,1.1952749500755e-05,7.10424632345164e-07,0.999998694598471,5.94976897020005e-07,0.783685872746028,-1.54672986410181,-0.790278131153841,1.61063516140831,0.784010280162535,-1.54689874829917,-0.79062360502275,1.61067566099108,-0.519317307205316,0.920994722299386,0.525966130480768,-0.986110194489394,-0.519442165566969,0.92102375706985,0.526022028967273,-0.986116253903423
