% Model:              双层结构非对称测试_仿照optic_左右手性相同_CPA_200-辐射.mph
% Version:            COMSOL 6.4.0.293
% Date:               Jul 12 2026, 14:33
% Table:              表格 17 {tbl17} - 全局计算 6 {gev6}
% 特征频率 (kHz)                                      Eoz1 (W)                                          Eoz0 (W)                                          Eoz_1 (W)                                         Eof1 (W)                                          Eof0 (W)                                          Eof_1 (W)
1.71502815592473+0.1052632926328724i              3.244482382726376E-5-1.991366131892907E-6i        3.6194131597363552E-9-2.2214874156813457E-10i     3.9846214450109307E-5-2.445641325178411E-6i       3.860369388140571E-5-2.3693791333455968E-6i       6.944756593062028E-10-4.2624836390828426E-11i     3.083868220726271E-5-1.8927859687789987E-6i
1.716857206509535+0.13802974415015118i            8.771179611612115E-10-7.05174357596826E-11i       9.5743970518858E-10-7.697504314587383E-11i        2.2751207299878727E-9-1.8291231855523982E-10i     7.765457750544392E-10-6.24317585907805E-11i       1.387282659509548E-10-1.1153302081851426E-11i     2.282905394889616E-10-1.8353818033373148E-11i
1.7168909785482693+0.1380939792262181i            7.31511622780607E-9-5.883737063224495E-10i        3.822710220349296E-9-3.074704639680334E-10i       7.217197436329013E-9-5.804978448233561E-10i       2.3208335188825573E-9-1.866706388166091E-10i      4.2683520673758835E-10-3.4331458961989E-11i       2.175324402297108E-9-1.7496696445752603E-10i
1.7169946146911728+0.13790499648242002i           3.8755077829958755E-8-3.112717317856973E-9i       1.6247979294212994E-8-1.3049997409676762E-9i      2.983612529109239E-8-2.3963678849727788E-9i       1.0678754701323139E-8-8.576926316029664E-10i      2.487486937627396E-9-1.997891399591093E-10i       1.396922694392581E-8-1.1219756754512082E-9i
1.7170011034917245+0.13809730969503173i           2.665828048822486E-9-2.1441085908639046E-10i      1.082168747922774E-9-8.703814599784638E-11i       1.1590657224287212E-9-9.322292088317594E-11i      5.388549237074472E-10-4.333975972909367E-11i      1.5627277979747521E-10-1.2568920558471527E-11i    1.1618775315474054E-9-9.344907290711849E-11i
1.7206189312841933+0.10367903599218697i           2.849927679252699E-5-1.7172759700594428E-6i       8.375933802745901E-7-5.047071878692664E-8i        3.6960495487490676E-5-2.2271221548611898E-6i      2.6728702987010545E-5-1.6105868118900893E-6i      3.5703863670551497E-7-2.151401509802307E-8i       2.1096789778059977E-5-1.2712255961792672E-6i
1.7214555723478262+0.20111544846688348i           3.875504701173896E-11-4.5277024776717154E-12i     4.49323087672352E-11-5.249384052386753E-12i       6.235023528194947E-11-7.284298085975407E-12i      7.481845008775882E-12-8.740943643683197E-13i      1.3870828509849459E-11-1.6205111192971008E-12i    1.4945994976581188E-11-1.7461214397762957E-12i
1.7214615104942803+0.20111205312974972i           5.231808763672285E-11-6.112130858750599E-12i      7.541260870241728E-11-8.810179301458138E-12i      1.0143255047849143E-10-1.1849993947909514E-11i    3.3656215331974963E-11-3.9319325612147835E-12i    1.5830219508871495E-11-1.8493866563474017E-12i    1.4478087794005911E-11-1.6914220526541201E-12i
1.7214697166971145+0.20110821534794485i           7.527675834752541E-11-8.794098659775002E-12i      4.8700858619868266E-11-5.689407526578943E-12i     7.377159461591688E-11-8.6182600789773E-12i        1.921197048295348E-11-2.2444107262933443E-12i     1.8428589788214452E-11-2.1528934071509143E-12i    7.808082403759868E-11-9.12167958738551E-12i
1.7214761402603918+0.20110422985727006i           4.593407945205797E-10-5.366056174912476E-11i      2.2251424582201885E-10-2.599429349717253E-11i     2.9986197352942336E-10-3.503011737414742E-11i     7.20833907725236E-11-8.42083979428044E-12i        3.951750992166871E-11-4.6164673519507065E-12i     8.90613195078743E-11-1.0404215109826703E-11i
1.7258170854625696+0.07802530908155621i           2.0208623554955865E-8-9.136449698350415E-10i      6.8227932487252894E-9-3.0846290520334033E-10i     1.7251726075554856E-8-7.79961718176364E-10i       1.377488640922178E-8-6.227715432280485E-10i       2.1869797824955238E-9-9.88747735329039E-11i       1.7857039541085095E-8-8.073283323077599E-10i
1.7386949096741826+0.08810847781264108i           1.0720939176560365E-6-5.432842911731161E-8i       2.974851679535199E-7-1.507508026530902E-8i        1.252191529005111E-6-6.345488730463854E-8i        4.1070840660107294E-7-2.0812675259546795E-8i      5.880430861882786E-8-2.9799121699853604E-9i       3.587617484364871E-7-1.818027497306241E-8i
1.7671425732055466+0.08003271356631012i           2.4607808621629515E-8-1.114471310221994E-9i       9.73366898431611E-9-4.408314040886595E-10i        1.9039064861518686E-8-8.62266603575901E-10i       5.372327528437936E-9-2.433091459552906E-10i       2.148921397612545E-9-9.732322298119133E-11i       3.1235337809885405E-9-1.4146277057605148E-10i
1.7766251328973586+0.07508181279103104i           5.681941517034305E-7-2.401240764706683E-8i        2.496220308196826E-7-1.0549256699951898E-8i       6.880775258017253E-7-2.9078789341288494E-8i       2.51589132956118E-7-1.0632388246170552E-8i        1.1144476786038771E-7-4.7097584302365934E-9i      2.1673463101084067E-7-9.159404924296579E-9i
1.8028797138591035+0.1039951973741682i            1.149537418475614E-6-6.630856723517712E-8i        7.133792888167138E-5-4.114973360276865E-6i        1.4492259589313065E-6-8.359544925835672E-8i       1.0329489746573595E-6-5.9583416281831795E-8i      7.423584224691624E-5-4.282133193556475E-6i        8.956266750005323E-7-5.166227792362268E-8i
1.8184638599107024+0.08389446782400359i           1.7143639821028508E-7-7.909184070461591E-9i       5.907668536146852E-9-2.7254911073403927E-10i      1.3834882275641538E-7-6.382695370034368E-9i       1.0389241138685805E-7-4.7930556973955555E-9i      2.3546273726981153E-8-1.0863026464877918E-9i      1.4970657741790968E-7-6.906683118159563E-9i
1.8241479902723956+0.09334769473930012i           6.097414891710633E-6-3.120249163146421E-7i        8.189698947470818E-8-4.190940216649385E-9i        1.492115847826491E-5-7.635651022907415E-7i        1.316574344451363E-5-6.737347005989781E-7i        2.9510743923059924E-7-1.5101625141982543E-8i      5.072858065149708E-6-2.595949498870862E-7i
1.8276161421858872+0.09957218055915291i           2.4596579366011133E-5-1.340070808764444E-6i       9.616161665627555E-9-5.239077088204464E-10i       4.08429912701204E-5-2.2252078034615524E-6i        4.166281020957618E-5-2.26987317797924E-6i         1.9651525331879685E-8-1.0706543805573753E-9i      2.5831254388408102E-5-1.4073383719163802E-6i
