% Model:              双层结构非对称测试_仿照optic_左右手性相同_CPA_辐射_purcell.mph
% Version:            COMSOL 6.4.0.293
% Date:               Jun 27 2026, 20:07
% Table:              表格 64 {tbl64} - 全局计算 6 {gev6}
% freq (Hz)              Ez1/(1e-4[W]) (1)        Ez0/(1e-4[W]) (1)        Ez_1/(1e-4[W]) (1)       Ef1/(1e-4[W]) (1)        Ef0/(1e-4[W]) (1)        Ef_1/(1e-4[W]) (1)
2629.5                   21.5067491574482         5.1379566629513445       13.918787361203947       68.59460606915789        2.109366322694082        1.5695066182570874
2630.5                   19.79574687723999        5.268446941832313        14.182950299993255       66.87191781847392        2.0265604471148615       1.6572081151186693
2631.5                   18.216113136759066       5.3927265678352105       14.42484288738915        65.19865372048794        1.9474843729345537       1.7447349974350652
2632.5                   16.758568556491266       5.510749708175204        14.645347437912966       63.57416692101155        1.8719496529939335       1.8319604236291398
2633.5                   15.414450007856376       5.6225177202053676       14.845362478027146       61.99761092804236        1.7997766679853457       1.9187646446011495
2634.5                   14.175685644244753       5.728070625214571        15.02579357017591        60.46799017774874        1.730794880369497        2.0050343295528177
2635.5                   13.034765950017647       5.827479906875953        15.18754595928978        58.98420143919569        1.6648428662353232       2.0906620718340285
2636.5                   11.984712483678255       5.9208424481935875       15.331518704563452       57.545067449765185       1.6017681813096254       2.175546042276441
2637.5                   11.019045582754588       6.008275441363009        15.458600015614028       56.14936400271994        1.5414271064002976       2.259589760757215
2638.5                   10.131751971471237       6.089912124736466        15.569663561130492       54.795841549294096       1.4836843083860782       2.3427019600018153
2639.5                   9.317252953238837        6.165898219904197        15.665565560214725       53.48324223102372        1.428412445306321        2.4247965188734235
2640.5                   8.570373667348543        6.2363889591417          15.747142502298745       52.21031312732261        1.375491737787648        2.505792445464095
2641.5                   7.8863137318383965       6.301546609153685        15.815209371618142       50.97581638718532        1.324809524099213        2.5856138932112183
2642.5                   7.260619473539384        6.361538410780809        15.87055827693441        49.77853681140033        1.2762598117646553       2.6641901958879615
