comsol_index,frequency_real_Hz,frequency_imag_Hz,Q,pml_fraction,mode_class,matched_theory_index,real_error_Hz,imag_error_Hz,pair_quality
48,1716.65273987886,52.9466512837993,16.2111549857746,0.213736441962217,physical,22,-16.5236156726701,-46.5981321254522,moderate
49,1718.68612145878,104.953585217051,8.18783902381426,0.0355804936926124,physical,25,32.41171711014,-39.5573705144032,low
50,1721.13143167498,201.154312450052,4.27813704491757,0.602514520725936,PML-dominated,NaN,NaN,NaN,not-applicable
51,1721.13345717564,201.150742205875,4.27821801277293,0.60248980363212,PML-dominated,NaN,NaN,NaN,not-applicable
52,1721.14018032583,201.153616501744,4.27817359254615,0.602451484267054,PML-dominated,NaN,NaN,NaN,not-applicable
53,1721.14099798846,201.153820352366,4.27817128944779,0.602447522797328,PML-dominated,NaN,NaN,NaN,not-applicable
54,1732.69628547312,79.0675566177807,10.9570622869322,0.241133931709241,physical,23,-3.18877782383015,-19.0453887761389,high
55,1737.32374983202,110.316658266094,7.87425841726203,0.0368133364999646,physical,28,43.35629904188,-36.4778845272533,low
56,1744.173116348,88.3145501276916,9.8747777904442,0.229384074927617,physical,24,-5.72565965590979,-78.1200803192808,high
57,1744.69521819032,88.6775638171568,9.83729786368334,0.22927743342849,physical,27,23.7980387852499,-70.4121796278242,moderate
58,1769.73636740708,71.8982827338847,12.30722278832,0.140014779061045,physical,29,15.2763231028,-46.1467028457932,moderate
59,1808.1266262528,101.860974263249,8.87546304819299,0.0454292787370122,physical,30,-21.2023150913799,-76.8708531900428,moderate
60,1825.90867817339,80.8172185198473,11.2965325435258,0.100754260364436,physical,31,-9.69664179544998,-54.7222815754982,high
