theory_index,frequency_real_Hz,frequency_imag_Hz,Q,Eoz1_fraction,Eoz0_fraction,Eoz_1_fraction,Eof1_fraction,Eof0_fraction,Eof_1_fraction,source_shift_index,Forward,Backward
41,1501.54610277671,5.7981510591301,129.48490712503,0.837179344124941,8.27852393267358e-05,0.162737870635732,0.842626269861053,0.000102830353522986,0.157270899785424,1,0.837179344124941,0.842626269861053
42,1511.85663437643,43.309199160303,17.4542206238968,0.544855085375047,7.37783828424675e-05,0.45507113624211,0.532984967536701,5.46085548380871e-05,0.466960423908461,1,0.544855085375047,0.532984967536701
43,1521.58213656662,44.6365290329672,17.0441359300454,1.47892809939357e-05,0.999959295703838,2.59150151676503e-05,3.15382576780222e-05,0.99994444730926,2.4014433061949e-05,1,1.47892809939357e-05,3.15382576780222e-05
44,1560.74557282052,162.950920603918,4.78900507906366,0.475756891085698,8.96561534595336e-06,0.524234143298956,0.755094430099948,3.6960793244239e-06,0.244901873820727,1,0.475756891085698,0.755094430099948
45,1560.94298942551,170.237846548829,4.58459449843248,0.827939376418713,5.34982443239498e-06,0.172055273756855,0.834891261968505,1.4936499419347e-06,0.165107244381553,1,0.827939376418713,0.834891261968505
46,1576.29026168453,169.6980854787,4.64439612632628,0.838398090628782,8.12954549040132e-07,0.161601096416669,0.803063980690363,4.16485048600734e-06,0.196931854459151,1,0.838398090628782,0.803063980690363
47,1577.65034008101,165.57833255293,4.76406035667948,0.533987872739684,2.47991570554796e-07,0.466011879268745,0.764711825662071,5.47847380225731e-06,0.235282695864127,1,0.533987872739684,0.764711825662071
48,1603.20995484674,58.901562643889,13.6092310872933,0.485256556378409,4.50451964273108e-06,0.514738939101948,0.449569695901456,2.59150467191016e-06,0.550427712593872,1,0.485256556378409,0.449569695901456
49,1606.48067544368,59.5522454551081,13.4879941399917,0.462635888393606,1.00377171021524e-05,0.537354073889292,0.637130090165893,1.20227694970056e-05,0.36285788706461,1,0.462635888393606,0.637130090165893
50,1616.74580329339,67.9558097137319,11.8955672083376,0.451826559194201,2.87177188650985e-06,0.548170569033912,0.558105998211209,4.15791564049863e-06,0.441889843873151,1,0.451826559194201,0.558105998211209
51,1641.89445864724,46.993181160024,17.4694968303611,1.20922424186727e-05,0.999978939783723,8.96797385797733e-06,1.15978328061815e-05,0.99998164376652,6.75840067390049e-06,1,1.20922424186727e-05,1.15978328061815e-05
52,1646.92514185253,5.43376642598999,151.545448657417,0.0432535927193058,0.0411239655968738,0.91562244168382,0.526150981355221,0.0588928734306732,0.414956145214106,1,0.0432535927193058,0.526150981355221
53,1648.82073134999,5.39123549304648,152.916778860487,0.0822787347784934,0.184129647469132,0.733591617752375,0.42870762053445,0.258821326580068,0.312471052885482,1,0.0822787347784934,0.42870762053445
54,1652.97812214042,6.72425849788737,122.911553940093,0.215972199882854,0.287650550545772,0.496377249571374,0.603144913445022,0.12746527049391,0.269389816061067,1,0.215972199882854,0.603144913445022
55,1653.49184247774,7.16126570761371,115.446899332319,0.344376984129728,0.278928672647063,0.376694343223209,0.284563685842417,0.210774674061107,0.504661640096476,1,0.344376984129728,0.284563685842417
56,1668.86211116128,5.18381533624764,160.968514782135,4.94196587510614e-06,0.999953675296839,4.13827372861077e-05,0.000244600387281482,0.999744564250455,1.08353622634807e-05,1,4.94196587510614e-06,0.000244600387281482
57,1670.97922447264,4.33558477677973,192.70517248584,0.00299976812421229,0.985422687333616,0.0115775445421716,0.0146230180604994,0.983528745688126,0.00184823625137419,1,0.00299976812421229,0.0146230180604994
58,1671.98503510365,4.16868881372741,200.540878656838,0.359430850417515,0.0184108475442041,0.622158302038281,0.555839140820973,0.0168672430608642,0.427293616118162,1,0.359430850417515,0.555839140820973
59,1671.99272487419,5.00156680049641,167.146895319707,0.209607464742565,0.00253125423044436,0.787861281026991,0.779973748408492,0.00349584782604683,0.216530403765461,1,0.209607464742565,0.779973748408492
60,1682.49594462773,8.55952667465692,98.2820667881829,0.445368245007535,0.136093572924738,0.418538182067727,0.588509950558405,0.0169661795958371,0.394523869845758,1,0.445368245007535,0.588509950558405
61,1682.51581812103,8.40049983271088,100.143792133025,0.0219809922085809,0.267021603248233,0.710997404543186,0.712249599059956,0.18969166145975,0.0980587394802935,1,0.0219809922085809,0.712249599059956
62,1684.25282331003,9.36226414405571,89.9490121937754,0.2650255168717,0.578578436096585,0.156396047031715,0.0460298354805,0.541413908167779,0.412556256351721,1,0.2650255168717,0.0460298354805
63,1684.34640747449,9.31159664333963,90.4434798880201,0.113337344054012,0.384329181874854,0.502333474071134,0.453704518487441,0.1660144541952,0.380281027317359,1,0.113337344054012,0.453704518487441
