solution_index,comsol_tvb_root,comsol_MAC,matlab_no_loss_index,matlab_tvb_index,matlab_MAC,comsol_no_loss_real_Hz,comsol_no_loss_imag_Hz,comsol_tvb_real_Hz,comsol_tvb_imag_Hz,matlab_no_loss_real_Hz,matlab_no_loss_imag_Hz,matlab_tvb_real_Hz,matlab_tvb_imag_Hz,comsol_loss_increment_Hz,matlab_loss_increment_Hz,no_loss_real_relative_error,tvb_real_relative_error,tvb_imag_absolute_error_Hz,loss_increment_absolute_error_Hz,loss_increment_relative_error,meaningful_loss,loss_within_10pct
24,67,1,54,54,0.999557192505098,1671.39594749049,6.00115811217681,1675.23810675503,10.9691892954509,1653.04876441812,6.68527302270034,1652.97812214042,6.72425849788702,4.96803118327409,0.0389854751866761,0.0109771613960886,0.013287654169787,4.24493079756388,4.92904570808741,0.992152731384229,1,0
25,68,1,55,55,0.999745110891642,1671.5419820552,5.65021207085068,1677.03261536069,16.0114300750968,1653.57176211671,7.12583780552771,1653.49184247774,7.16126570761422,10.3612180042461,0.0354279020865045,0.0107506841774899,0.0140371586499471,8.85016436748258,10.3257901021596,0.996580720329214,1,0
26,69,1,56,56,0.999472518101014,1676.08603444147,106.595246990881,1677.36598726932,16.0542652453097,1672.76296548525,1.24769204512006,1668.86211116128,5.18381533624815,-90.5409817455713,3.93612329112809,0.00198263626564102,0.00506977974549636,10.8704499090616,94.4771050366994,1.04347338868259,1,0
27,70,0.999999999999998,57,57,0.999769271691507,1676.74702818993,17.5806267662835,1678.17821138788,10.9166123056613,1674.98588406305,0.346698809370544,1670.97922447264,4.33558477678012,-6.6640144606222,3.98888596740958,0.00105033382929691,0.00428976306949142,6.58102752888118,10.6529004280318,1.59857102516508,1,0
28,71,0.999999999999999,58,58,0.999951340860033,1676.75248464041,17.4202542571584,1682.25871452864,23.2862730825534,1676.0496792182,0.107822424224946,1671.98503510365,4.16868881372689,5.866018825395,4.06086638950195,0.000419146790388808,0.0061070745755471,19.1175842688265,1.80515243589305,0.307730419834018,1,0
29,72,1,59,59,0.999872911901139,1676.90307243655,16.5364163651731,1683.06984144478,21.7804140515524,1676.090310707,0.965258870784685,1671.99272487419,5.00156680049639,5.2439976863793,4.0363079297117,0.000484680207767765,0.00658149548986206,16.778847251056,1.2076897566676,0.23029944498344,1,0
30,73,1,60,60,0.996709382668322,1677.40415179825,15.1413596102825,1685.40740653036,31.2869217498104,1682.77411391903,8.59502266452685,1682.49594462773,8.55952667465694,16.1455621395279,-0.0354959898699132,0.00320135258698332,0.00172745289438665,22.7273950751535,16.1810581293978,1.00219849823519,1,0
31,74,1,61,61,0.992738886228377,1684.95264395127,33.8578670597659,1685.71605246468,31.1713961833743,1682.83091172206,8.44505745536267,1682.51581812103,8.40049983271065,-2.6864708763916,-0.0445576226520163,0.00125922365642057,0.00189844211246125,22.7708963506636,2.64191325373958,0.983414068232199,1,0
32,75,0.999999999999999,62,62,0.996075033722649,1685.0395971757,34.1910416743284,1691.83914239449,39.4675740764573,1684.53278801757,9.3956657809154,1684.25282331003,9.36226414405484,5.2765324021289,-0.0334016368605639,0.000300769880410504,0.0044840664188243,30.1053099324025,5.30993403898946,1.00633022491193,1,0
33,76,1,63,63,0.996400642016785,1685.29740685347,32.1072319117138,1692.0634688695,40.4572114052284,1684.60328525019,9.36104214475407,1684.34640747449,9.31159664333955,8.3499794935146,-0.0494455014145174,0.000411868908395158,0.004560739911352,31.1456147618889,8.39942499492912,1.00592163147861,1,0
